Reacciones	Flujos_BRCA_cancer3
10FTHF7GLUtl	0.0
10FTHF7GLUtm	0.0
10FTHFtl	0.0
10FTHFtm	0.0
13DAMPPOX	0.0
2AMADPTm	0.0
2HBO	0.0
2OXOADOXm	0.0
2OXOADPTm	0.0
34DHOXPEGOX	-1.4639541472722774e-13
34DHOXPEGt	-1.4639541472722774e-13
34DHPHAMT	0.0
34DHPLACOX	0.0
34DHPLACOX_NADP_	0.0
34DHXMANDACOX_NADP_	1.4639541472722774e-13
34HPLFM	0.0
34HPPOR	0.0
3AIBTm	0.0
3AIBtmi	0.0
3DPHBH1	0.0
3DSPHR	0.0
3HBCDm	15.315762983716523
3HBCOAHLm	0.0
3M4HDXPAC	0.0
3MLDAt	0.0
3MOX4HOXPGALDOX	0.0
3MOX4HOXPGALDOX_NADP_	-1.4639541472722774e-13
3MOXTYROX	0.0
3SALAASPm	0.0
3SALACBOXL	0.0
3SALAOX	0.0
3SALATAi	0.0
3SALATAim	0.0
3SPYRSP	0.0
3SPYRSPm	0.0
41R1H2MAE12BOOX	0.0
41R2A1H12BOOX	0.0
42A12BOOX	0.0
4ABUTtm	-453.22968278610114
4HOXPACDOX_NADP_	0.0
4MPTNLte	0.0
4MPTNLtm	0.0
4NPHSFte	0.0
4NPHSULT	0.0
4NPHte	0.0
5AOPtm	9.015638460231194e-13
5HOXINDACTO2OX	0.0
7DHFtl	0.0
7DHFtm	0.0
7THFtl	0.0
7THFtm	0.0
A_MANASEly	0.0
A4GALTg	0.0
AACTOOR	-1.187531897936146e-12
ABO3g	0.0
ABO4g	0.0
ABO5g	0.0
ABO6g	0.0
ABO7g	0.0
ABO8g	0.0
ABO9g	0.0
ABTArm	-453.22968278610114
ABTti	0.0
ABUTt2rL	0.0
ACACT10m	0.0
ACACT1rm	15.315762983716525
ACACT1x	0.0
ACACt2m	0.0
ACACT4p	0.0
ACACT5p	0.0
ACACT6p	0.0
ACACT7p	0.0
ACACT8p	0.0
ACACT9p	0.0
ACACtx	0.0
ACALDtm	-1.1713533405454123e-13
ACALDtx	0.0
ACCOACm	0.0
ACCOALm	0.0
ACCOAtr	0.0
ACGAGBSIDEtg	0.0
ACGAGBSIDEtl	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg	0.0
ACGALK2	0.0
ACGALtly	0.0
ACGAM6PSi	0.0
ACGAMK	0.0
ACGAMPM	0.0
ACGAMtly	0.0
ACGPID	0.0
ACITL	0.0
ACN13ACNGALGBSIDEte	0.0
ACN13ACNGALGBSIDEtg	0.0
ACN23ACNGALGBSIDEte	0.0
ACN23ACNGALGBSIDEtg	0.0
ACNAM9PL	0.0
ACNAM9PL2	0.0
ACNAMlt	0.0
ACNAMPH	0.0
ACNAMtn	0.0
ACOAD10m	0.0
ACOAD1fm	0.0
ACOAD8m	0.0
ACOAD9m	453.2296827861012
ACONTm	0.0
ACOX22x	0.0
ACOX2x	0.0
ACP1_FMN_	0.0
ACS2	0.0
ACSm	1.1713533405454123e-13
ACtg	0.0
ADEt	-999.9999999999999
ADK1m	0.0
ADK3m	1.018699180077661e-12
ADMDC	0.0
ADNCYC	0.0
ADNt	1000.0
ADNtl	0.0
ADNtm	0.0
ADPMAN	0.0
ADRNCPT1	0.0
ADRNCPT2	0.0
ADSK	0.0
ADSL1	0.0
ADSL2	0.0
AG13T1g	0.0
AG13T2g	0.0
AG13T3g	0.0
AGPAT1	0.0
AHEXASE2ly	0.0
AHEXASEly	0.0
AIRCr	0.0
AKGDm	546.7703172138986
AKGMALtm	0.0
ALACYSNaEx	0.0
ALAGLNNaEx	0.0
ALASm	0.0
ALATHRNaEx	0.0
ALCD21_D	0.0
ALCD21_L	-1.187531897936146e-12
ALCD22_D	0.0
ALCD22_L	0.0
ALCD2if	0.0
ALCD2yf	0.0
ALDD20x	0.0
