Reacciones	FlujosC3
10FTHF7GLUtl	0.0
10FTHF7GLUtm	0.0
10FTHFtl	0.0
10FTHFtm	0.0
11DOCRTSLtm	0.0
11DOCRTSLtr	0.0
11DOCRTSTRNtm	0.0
11DOCRTSTRNtr	0.0
13DAMPPOX	0.0
24NPHte	0.0
25HVITD2tin_m	0.0
25HVITD3tin_m	0.0
25VITD2Hm	0.0
25VITD3Hm	0.0
2AMACHYD	0.0
2AMADPTm	0.0
2DR1PP	0.0
2HBO	33.49599258340746
2HBt2	0.0
2HCO3_NAt	0.0
2OXOADOXm	0.0
2OXOADPTm	0.0
34DHOXPEGOX	0.0
34DHOXPEGt	0.0
34DHPHAMT	0.0
34DHPLACOX	0.0
34DHPLACOX_NADP_	0.0
34DHXMANDACOX	0.0
34DHXMANDACOX_NADP_	0.0
34HPLFM	0.0
34HPPOR	0.0
35CGMPtn	0.0
3AIBTm	1000.0000000000003
3AIBtmi	1000.0000000000002
3DPHBH1	0.0
3DSPHR	0.0
3HAO	0.0
3HBCDm	3.383606262882244e-14
3HBCOAHLm	0.0
3HKYNAKGAT	0.0
3HLYTCL	0.0
3M4HDXPAC	0.0
3MLDAt	0.0
3MOX4HOXPGALDOX	0.0
3MOX4HOXPGALDOX_NADP_	0.0
3MOXTYROX	0.0
3SALAASPm	0.0
3SALACBOXL	0.0
3SALAOX	0.0
3SALATAi	56.15006739061343
3SALATAim	0.0
3SPYRSP	56.15006739061344
3SPYRSPm	0.0
41R1H2MAE12BOOX	0.0
41R2A1H12BOOX	0.0
42A12BOOX	0.0
4ABUTtm	0.0
4HBZCOAFm	0.0
4HBZFm	0.0
4HGLSDm	0.0
4HOXPACDOX_NADP_	0.0
4MOPt2im	0.0
4MPTNLte	0.0
4MPTNLtm	0.0
4NPHSFte	0.0
4NPHSULT	0.0
4NPHte	0.0
4PYRDX	0.0
5ADTSTSTERONESte	0.0
5ADTSTSTERONESULT	0.0
5ADTSTSTERONEtr	0.0
5AOPtm	0.0
5FTHFt2	0.0
5HLTDL	0.0
5HOXINDACTO2OX	0.0
5HTRPVESSEC	0.0
5MTHFt	813.84335332512
5MTHFt2	-919.9074503123825
7DHFtl	0.0
7DHFtm	0.0
7THFtl	0.0
7THFtm	0.0
A_MANASEly	0.0
A4GALTc	0.0
A4GALTg	0.0
A4GNT1g	0.0
A4GNT2g	0.0
AACTOOR	0.0
AACTtm	0.0
AATAi	0.0
ABTArm	0.0
ABTD	0.0
ABUTt2rL	0.0
ABUTt4_2_r	0.0
ACACT10m	0.0
ACACT1rm	3.383606262882244e-14
ACACT1x	0.0
ACACt2m	0.0
ACACT4p	-7.946736868546329e-15
ACACT5p	0.0
ACACT6p	0.0
ACACT7p	0.0
ACACT8p	0.0
ACACT9p	0.0
ACACtx	0.0
ACALDtm	0.0
ACALDtr	0.0
ACALDtx	0.0
ACCOACm	-5.667326173636154e-13
ACCOAgt	0.0
ACCOALm	0.0
ACCOAtr	0.0
ACETONEt2m	0.0
ACGAGBSIDEtg	0.0
ACGAGBSIDEtl	0.0
ACGALtly	0.0
ACGAM6PSi	0.0
ACGAMK	0.0
ACGAMPM	0.0
ACGAMtly	0.0
ACGPID	0.0
ACGSm	0.0
ACHEe	0.0
ACITL	0.0
ACNACNGAL14ACGLCGALGLUSIDEte	0.0
ACNAM9PL	0.0
ACNAM9PL2	0.0
ACNAMlt	0.0
ACNAMPH	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte	0.0
ACOAD10m	0.0
ACOAD1fm	0.0
ACOAD8m	0.0
ACOAD9m	0.0
ACOAO7p	0.0
ACONTm	52.596647844704286
ACOX22x	0.0
ACOX2x	0.0
ACP1_FMN_	0.0
ACRNtm	0.0
ACS2	0.0
ACSm	0.0
ACtg	0.0
ACTLMO	541.5216287056976
ACTNMO	0.0
ADA	0.0
ADAe	0.0
ADCim	0.0
ADEt	3.247433545781888e-13
ADK1m	0.0
ADK3	0.0
ADK3m	-4.5358483528018245e-14
ADKd	0.0
ADMDC	0.0
ADNCYC	0.0
ADNK1m	-2.2064360295861393e-13
