	Reacciones	FlujosN1
0	10FTHF7GLUtl	0.0
1	10FTHF7GLUtm	0.0
2	10FTHFtl	0.0
3	11DOCRTSLtm	0.0
4	11DOCRTSLtr	0.0
5	11DOCRTSTRNtm	0.0
6	11DOCRTSTRNtr	0.0
7	13DAMPPOX	0.0
8	24NPHte	0.0
9	25HVITD2tin_m	0.0
10	25HVITD3tin_m	0.0
11	25VITD2Hm	0.0
12	25VITD3Hm	0.0
13	2AMACHYD	0.0
14	2AMACSULT	0.0
15	2AMADPTm	0.0
16	2DR1PP	0.0
17	2HBO	0.0
18	2HBt2	0.0
19	2HCO3_NAt	-499.9999999999999
20	2OXOADOXm	0.0
21	2OXOADPTm	0.0
22	34DHOXPEGOX	0.0
23	34DHOXPEGt	0.0
24	34DHPHAMT	0.0
25	34DHPLACOX	0.0
26	34DHPLACOX_NADP_	0.0
27	34DHXMANDACOX	0.0
28	34DHXMANDACOX_NADP_	0.0
29	34HPLFM	0.0
30	34HPPOR	0.0
31	35CGMPtn	0.0
32	3AIBTm	0.0
33	3AIBtmi	0.0
34	3DPHBH2	0.0
35	3DSPHR	0.0
36	3HAO	0.0
37	3HBCDm	0.0
38	3HBCOAHLm	352.80402858414465
39	3HKYNAKGAT	0.0
40	3HLYTCL	0.0
41	3M4HDXPAC	0.0
42	3MLDAt	0.0
43	3MOX4HOXPGALDOX	0.0
44	3MOX4HOXPGALDOX_NADP_	0.0
45	3MOXTYROX	0.0
46	3SALAASPm	0.0
47	3SALACBOXL	0.0
48	3SALATAi	0.0
49	3SALATAim	0.0
50	3SPYRSP	0.0
51	3SPYRSPm	0.0
52	41R1H2MAE12BOOX	0.0
53	41R2A1H12BOOX	0.0
54	42A12BOOX	0.0
55	4ABUTtm	-999.9999999999999
56	4HBZCOAFm	0.0
57	4HBZFm	0.0
58	4HGLSDm	0.0
59	4HOXPACDOX_NADP_	0.0
60	4MOPt2im	806.6714318374642
61	4MPTNLte	0.0
62	4MPTNLtm	0.0
63	4NPHSFte	0.0
64	4NPHSULT	0.0
65	4NPHte	0.0
66	4PYRDX	0.0
67	5ADTSTSTERONESte	1.7490698322713441e-13
68	5ADTSTSTERONESULT	0.0
69	5ADTSTSTERONEtr	1.7490698322713441e-13
70	5AOPtm	0.0
71	5FTHFt2	0.0
72	5HLTDL	0.0
73	5HOXINDACTO2OX	0.0
74	5HTRPVESSEC	0.0
75	5MTHFt	912.8438666097484
76	5MTHFt2	-1000.0
77	6HTSTSTERONEte	0.0
78	6HTSTSTERONEtr	0.0
79	7DHFtl	0.0
80	7DHFtm	0.0
81	7THFtl	0.0
82	7THFtm	0.0
83	A_MANASEly	0.0
84	A4GALTc	0.0
85	A4GALTg	0.0
86	AACTOOR	0.0
87	AACTtm	0.0
88	AATAi	0.0
89	ABTArm	-1000.0
90	ABTD	0.0
91	ABTti	0.0
92	ABUTt2rL	0.0
93	ABUTt4_2_r	0.0
94	ACACT10m	0.0
95	ACACT1rm	0.0
96	ACACT1x	0.0
97	ACACt2m	0.0
98	ACACT4p	0.0
99	ACACT5p	0.0
100	ACACT6p	0.0
101	ACACT7p	0.0
102	ACACT8p	0.0
103	ACACT9p	0.0
104	ACACtx	0.0
105	ACALDtm	0.0
106	ACALDtr	0.0
107	ACALDtx	0.0
108	ACCOACm	0.0
109	ACCOAgt	0.0
110	ACCOALm	0.0
111	ACCOAtr	0.0
112	ACETONEt2m	0.0
113	ACGAGBSIDEtg	0.0
114	ACGAGBSIDEtl	0.0
115	ACGALK	0.0
116	ACGALtly	0.0
117	ACGAM6PSi	0.0
118	ACGAMK	0.0
119	ACGAMPM	0.0
120	ACGAMtly	0.0
121	ACGPID	0.0
122	ACGSm	0.0
123	ACHEe	0.0
124	ACITL	0.0
125	ACN13ACNGALGBSIDEte	0.0
126	ACN13ACNGALGBSIDEtg	0.0
127	ACN23ACNGALGBSIDEte	0.0
128	ACN23ACNGALGBSIDEtg	0.0
129	ACNACNGAL14ACGLCGALGLUSIDEte	0.0
130	ACNACNGALGBSIDEte	0.0
131	ACNACNGALGBSIDEtg	0.0
132	ACNAM9PL	0.0
133	ACNAM9PL2	0.0
134	ACNAMlt	0.0
135	ACNAMPH	0.0
136	ACNGALACGLCGAL14ACGLCGALGLUSIDEte	0.0
137	ACOAD10m	0.0
138	ACOAD1fm	0.0
139	ACOAD8m	0.0
140	ACOAD9m	352.80402858414465
141	ACOAO7p	0.0
142	ACODA	0.0
143	ACONTm	0.0
144	ACOX22x	0.0
145	ACOX2x	0.0
146	ACP1_FMN_	0.0
147	ACRNtm	0.0
148	ACS2	0.0
149	ACSm	0.0
150	ACtg	0.0
151	ACTLMO	694.4490260161233
152	ACTNMO	0.0
153	ADA	0.0
154	ADAe	0.0
155	ADCim	0.0
156	ADEt	0.0
157	ADK1m	0.0
158	ADK3	0.0
159	ADK3m	0.0
160	ADKd	0.0
161	ADMDC	0.0
162	ADNCYC	0.0
163	ADNK1m	0.0
164	ADNt	0.0
165	ADNtl	0.0
166	ADNtm	0.0
167	ADPMAN	0.0
168	ADPRIBt	0.0
169	ADRNCPT1	0.0
170	ADRNCPT2	0.0
171	ADRNCRNt	0.0
172	ADSK	0.0
173	ADSL1	0.0
174	ADSL2	0.0
175	AFLATOXINte	0.0
176	AG13T1g	0.0
177	AG13T2g	0.0
178	AG13T3g	0.0
179	AGMTm	0.0
180	AGPAT1	0.0
181	AGTim	0.0
182	AHEXASE2ly	0.0
183	AHEXASEly	0.0
184	AIRCr	0.0
185	AKGDm	696.3374920828684
186	AKGMALtm	-3.5844929902662794e-13
187	AKGt4_3	0.0
188	AKR1C1	0.0
189	ALACYSNaEx	742.842550189326
190	ALAGLNNaEx	0.0
191	ALASERNaEx	0.0
192	ALASm	0.0
193	ALAt4	0.0
194	ALATA_L	-140.9343302507687
195	ALATHRNaEx	0.0
196	ALAtN1	517.7128812914898
197	ALCD21_D	0.0
198	ALCD21_L	0.0
199	ALCD22_D	0.0
200	ALCD22_L	0.0
201	ALCD2if	0.0
202	ALCD2yf	0.0
203	ALDD20x	0.0
204	ALDD20xm	0.0
205	ALDD21	0.0
206	ALDD2xm	0.0
207	ALDD2y	0.0
208	ALDSTRNte	0.0
209	ALDSTRNtm	0.0
210	ALOX12	0.0
211	ALOX15	0.0
212	ALOX5	0.0
213	ALOX52	0.0
214	ALR2	694.4490260161234
215	ALR3	0.0
216	AMACRp	0.0
217	AMCOXO	0.0
218	AMETt2m	0.0
219	AMPDA	10.06689714943143
220	AMPTASECGe	0.0
221	AMY1e	0.0
222	AMY2e	0.0
223	ANDRSTRNtr	0.0
224	AOBUTDsm	0.0
225	APAT2rm	0.0
226	APOCF	0.0
227	APOCFm	0.0
228	APOC_LYS_BTNP	0.0
229	APOC_LYS_BTNPm	0.0
230	APRTO2	0.0
231	ARAB_Lt	0.0
232	ARABR	0.0
233	ARACHCOAtx	0.0
234	ARACHCPT1	0.0
235	ARACHCPT2	0.0
236	ARACHCRNt	0.0
237	ARACHDCOAtx	0.0
238	ARACHDt2	0.0
239	ARACHDtr	0.0
240	ARGDCm	0.0
241	ARGLYSex	0.0
242	ARGNm	0.0
243	ARGSS	0.0
244	ARGtm	0.0
245	ARSA	0.0
246	R_group_phosphotase_1	0.0
247	R_group_phosphotase_2	0.0
248	R_group_phosphotase_3	0.0
249	ARTFR208	0.0
250	ARTPLM3m	0.0
251	ASAH1	0.0
252	ASCBt4	0.0
253	ASNNm	0.0
254	ASNS1	0.0
255	ASNtm	0.0
256	ASNtN1	0.0
257	ASPCTr	0.0
