Reacciones	FlujosC2
10FTHF7GLUtl	0.0
10FTHF7GLUtm	0.0
10FTHFtl	0.0
10FTHFtm	-1000.0
13DAMPPOX	0.0
1a_25VITD2Hm	0.0
25HVITD2tin_m	0.0
25HVITD3tin_m	0.0
25VITD2Hm	0.0
25VITD3Hm	0.0
2AMACHYD	0.0
2AMADPTm	0.0
2DR1PP	0.0
2HBO	-541.8652079374671
2HBt2	0.0
2HCO3_NAt	0.0
2OXOADOXm	0.0
2OXOADPTm	-648.3185248237219
34DHOXPEGOX	0.0
34DHOXPEGt	0.0
34DHPHAMT	0.0
34DHPLACOX	0.0
34DHPLACOX_NADP_	0.0
34DHXMANDACOX	0.0
34DHXMANDACOX_NADP_	0.0
34HPLFM	0.0
34HPPOR	0.0
35CGMPtn	0.0
3AIBTm	0.0
3AIBtmi	0.0
3DPHBH2	0.0
3DSPHR	0.0
3HAO	0.0
3HBCDm	0.0
3HBCOAHLm	0.0
3HKYNAKGAT	560.0116025886026
3HLYTCL	0.0
3M4HDXPAC	0.0
3MLDAt	0.0
3MOX4HOXPGALDOX	0.0
3MOX4HOXPGALDOX_NADP_	0.0
3MOXTYROX	0.0
3SALAASPm	0.0
3SALACBOXL	0.0
3SALAOX	0.0
3SALATAi	867.8577459751476
3SALATAim	0.0
3SPYRSP	867.8577459751476
3SPYRSPm	0.0
41R1H2MAE12BOOX	0.0
41R2A1H12BOOX	0.0
42A12BOOX	0.0
4ABUTtm	-893.5466831137456
4HBZCOAFm	0.0
4HBZFm	0.0
4HGLSDm	0.0
4HOXPACDOX_NADP_	0.0
4MOPt2im	1000.0
4MPTNLte	0.0
4MPTNLtm	0.0
4NPHSFte	0.0
4NPHSULT	0.0
4NPHte	0.0
4PYRDX	0.0
5ADTSTSTERONESte	1000.0
5ADTSTSTERONEtr	0.0
5AOPtm	0.0
5FTHFt2	0.0
5HLTDL	0.0
5HOXINDACTO2OX	0.0
5HTRPVESSEC	0.0
5MTHFt2	-230.55987159582537
7DHFtl	0.0
7DHFtm	0.0
7THFtl	0.0
7THFtm	0.0
A_MANASEly	0.0
A4GALTc	0.0
A4GALTg	0.0
AACTOOR	55.95438063738034
AACTtm	0.0
AATAi	0.0
ABO3g	0.0
ABO4g	0.0
ABO5g	0.0
ABO6g	0.0
ABO7g	0.0
ABO8g	0.0
ABO9g	0.0
ABTArm	-893.5466831137456
ABTD	0.0
ABTti	0.0
ABUTt2rL	0.0
ABUTt4_2_r	0.0
ACACT10m	-458.1347920625329
ACACT1rm	0.0
ACACT1x	0.0
ACACt2m	0.0
ACACT4p	0.0
ACACT5p	0.0
ACACT6p	0.0
ACACT7p	0.0
ACACT8p	0.0
ACACT9p	0.0
ACACtx	0.0
ACALDtm	0.0
ACALDtx	0.0
ACCOACm	0.0
ACCOAgt	1000.0000000000002
ACCOALm	0.0
ACCOAtr	0.0
ACGAGBSIDEtg	0.0
ACGAGBSIDEtl	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg	0.0
ACGALK	0.0
ACGALtlg	0.0
ACGALtly	0.0
ACGAM6PSi	0.0
ACGAMK	0.0
ACGAMPM	0.0
ACGAMtly	0.0
ACGBGBSIDEtg	0.0
ACGBGBSIDEtl	0.0
ACGPID	0.0
ACHEe	229.70774460275976
ACITL	0.0
ACNACNGAL14ACGLCGALGLUSIDEte	0.0
ACNACNGALGBSIDEte	0.0
ACNACNGALGBSIDEtg	0.0
ACNAM9PL	0.0
ACNAM9PL2	0.0
ACNAMlt	0.0
ACNAMPH	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg	0.0
ACOAD10m	0.0
ACOAD1fm	0.0
ACOAD8m	0.0
ACOAD9m	0.0
ACOAO7p	0.0
ACONTm	0.0
