Reacciones	Flujos_BRCA_control3
10FTHF7GLUtl	0.0
10FTHF7GLUtm	0.0
10FTHFtl	0.0
10FTHFtm	0.0
13DAMPPOX	0.0
2HBO	0.0
2OXOADOXm	0.0
2OXOADPTm	0.0
34DHOXPEGOX	0.0
34DHOXPEGt	0.0
34DHPHAMT	0.0
34DHPLACOX	0.0
34DHPLACOX_NADP_	0.0
34DHXMANDACOX	0.0
34DHXMANDACOX_NADP_	0.0
34HPLFM	0.0
34HPPOR	0.0
3DPHBH2	0.0
3DSPHR	0.0
3HAO	0.0
3HBCDm	0.0
3HBCOAHLm	223.81027462737322
3M4HDXPAC	0.0
3MLDAt	0.0
3MOX4HOXPGALDOX	0.0
3MOX4HOXPGALDOX_NADP_	0.0
3MOXTYROX	0.0
3SALAASPm	0.0
3SALACBOXL	0.0
3SALATAi	985.284688066197
3SALATAim	0.0
3SPYRSP	985.284688066197
3SPYRSPm	0.0
41R1H2MAE12BOOX	0.0
41R2A1H12BOOX	0.0
42A12BOOX	0.0
4HGLSDm	0.0
4HOXPACDOX_NADP_	0.0
4MPTNLte	0.0
4MPTNLtm	0.0
5ADTSTSTERONEGLCte	0.0
5ADTSTSTERONEGLCtr	0.0
5ADTSTSTERONESte	866.8619459748138
5AOPtm	0.0
5HOXINDACTO2OX	0.0
7DHFtl	0.0
7DHFtm	0.0
7THFtm	0.0
A_MANASEly	0.0
A4GALTg	0.0
AACTOOR	14.715311933803124
ABO9g	0.0
ABTti	0.0
ABUTt2rL	0.0
ACACT10m	0.0
ACACT1rm	0.0
ACACT1x	0.0
ACACt2m	0.0
ACACT4p	0.0
ACACT5p	0.0
ACACT6p	0.0
ACACT7p	0.0
ACACT8p	0.0
ACACT9p	0.0
ACACtx	0.0
ACALDtm	0.0
ACALDtx	0.0
ACCOAgt	0.0
ACCOALm	0.0
ACCOAtr	0.0
ACGAGBSIDEtg	0.0
ACGAGBSIDEtl	0.0
ACGALtly	0.0
ACGAM6PSi	0.0
ACGAMK	0.0
ACGAMPM	0.0
ACGAMtly	0.0
ACGPID	0.0
ACITL	0.0
ACNAM9PL	0.0
ACNAM9PL2	0.0
ACNAMlt	0.0
ACNAMPH	0.0
ACNAMtn	0.0
ACOAD10m	0.0
ACOAD1fm	0.0
ACOAD8m	0.0
ACOAD9m	223.81027462737322
ACOAO7p	0.0
ACONTm	0.0
ACP1_FMN_	0.0
ACRNtm	0.0
ACS2	0.0
ACSm	0.0
ACtg	0.0
ADK1m	0.0
ADK3	299.21290909173365
ADK3m	0.0
ADKd	0.0
ADMDC	0.0
ADNCYC	0.0
ADNt	0.0
ADNtl	0.0
ADNtm	0.0
ADPMAN	0.0
ADRNCOAtx	0.0
ADRNCPT1	0.0
ADRNCPT2	0.0
ADRNCRNt	0.0
ADSK	0.0
ADSL1	0.0
ADSL2	0.0
AG13T1g	0.0
AG13T2g	0.0
AG13T3g	0.0
AGPAT1	0.0
AGTim	0.0
AHEXASE2ly	0.0
AHEXASEly	0.0
AIRCr	0.0
AKGDm	209.09496269356984
AKGMALtm	-1000.0
AKR1C1	0.0
ALACYSNaEx	99.00473930633338
ALASm	0.0
ALCD21_D	294.79127609890617
ALCD21_L	294.79127609890617
ALCD22_D	280.075964165103
ALCD22_L	0.0
ALCD2if	0.0
ALCD2yf	0.0
ALDD20x	0.0
ALDD20xm	0.0
ALDD21	0.0
ALDD2xm	0.0
ALDD2y	0.0
ALOX15	0.0
ALOX5	0.0
ALOX52	5.5964904354036245
ALR2	294.79127609890617
ALR3	294.79127609890617
AMETt2m	0.0
AMPTASECGe	994.4035095645959
AMY1e	0.0
AMY2e	0.0
ANDRSTRNGLCte	0.0
ANDRSTRNGLCtr	0.0
ANDRSTRNtr	0.0
APOCF	0.0
APOCFm	0.0
APOC_LYS_BTNP	0.0
APOC_LYS_BTNPm	0.0
APRTO2	0.0
ARAB_Lt	0.0
ARABR	0.0
ARACHCPT1	0.0
ARACHCPT2	0.0
ARACHCRNt	0.0
ARACHDt2	-8.55707874298003
ARACHDtr	0.0
ARGNm	0.0
ARGSS	0.0
