	Reacciones	FlujosC1
0	10FTHF7GLUtl	0.0
1	10FTHF7GLUtm	0.0
2	10FTHFtl	0.0
3	10FTHFtm	0.0
4	11DOCRTSLtm	0.0
5	11DOCRTSLtr	0.0
6	11DOCRTSTRNtm	0.0
7	11DOCRTSTRNtr	0.0
8	13DAMPPOX	0.0
9	1a_25VITD2Hm	0.0
10	25HVITD2tin_m	0.0
11	25HVITD3tin_m	0.0
12	25VITD2Hm	0.0
13	25VITD3Hm	0.0
14	2AMACHYD	0.0
15	2AMADPTm	0.0
16	2DR1PP	0.0
17	2HBO	0.0
18	2HBt2	0.0
19	2HCO3_NAt	0.0
20	2OXOADOXm	0.0
21	2OXOADPTm	-179.81573325020605
22	34DHOXPEGOX	0.0
23	34DHOXPEGt	0.0
24	34DHPHAMT	0.0
25	34DHPLACOX	0.0
26	34DHPLACOX_NADP_	0.0
27	34DHXMANDACOX	0.0
28	34DHXMANDACOX_NADP_	0.0
29	34HPLFM	0.0
30	34HPPOR	0.0
31	35CGMPtn	0.0
32	3AIBTm	0.0
33	3AIBtmi	0.0
34	3DPHBH1	0.0
35	3DSPHR	0.0
36	3HAO	0.0
37	3HBCDm	0.0
38	3HBCOAHLm	0.0
39	3HKYNAKGAT	0.0
40	3HLYTCL	0.0
41	3M4HDXPAC	0.0
42	3MLDAt	0.0
43	3MOX4HOXPGALDOX	0.0
44	3MOX4HOXPGALDOX_NADP_	0.0
45	3MOXTYROX	0.0
46	3SALAASPm	0.0
47	3SALACBOXL	0.0
48	3SALAOX	0.0
49	3SALATAi	856.4649818890093
50	3SALATAim	0.0
51	3SPYRSP	856.4649818890093
52	3SPYRSPm	0.0
53	41R1H2MAE12BOOX	0.0
54	41R2A1H12BOOX	0.0
55	42A12BOOX	0.0
56	4ABUTtm	-820.1842667497937
57	4HGLSDm	0.0
58	4HOXPACDOX_NADP_	0.0
59	4MOPt2im	1000.0
60	4MPTNLte	0.0
61	4MPTNLtm	0.0
62	4NPHSFte	0.0
63	4NPHSULT	0.0
64	4NPHte	0.0
65	4PYRDX	0.0
66	5ADTSTSTERONESte	1000.0
67	5ADTSTSTERONESULT	0.0
68	5ADTSTSTERONEtr	0.0
69	5AOPtm	0.0
70	5FTHFt2	0.0
71	5HLTDL	0.0
72	5HOXINDACTO2OX	0.0
73	5HTRPVESSEC	0.0
74	5MTHFt	936.6332822334764
75	5MTHFt2	-1000.0
76	7DHFtl	0.0
77	7DHFtm	0.0
78	7THFtl	0.0
79	7THFtm	0.0
80	A_MANASEly	0.0
81	A4GALTc	0.0
82	A4GALTg	0.0
83	AACTOOR	393.53501811099045
84	AACTtm	0.0
85	AATAi	0.0
86	ABTArm	-820.1842667497937
87	ABTD	-1.768931555928505e-13
88	ABUTt2rL	0.0
89	ABUTt4_2_r	179.81573325020622
90	ACACT10m	-999.9999999999998
91	ACACT1rm	0.0
92	ACACT1x	184.89887192275984
93	ACACt2m	184.89887192275984
94	ACACT4p	0.0
95	ACACT5p	0.0
96	ACACT6p	0.0
97	ACACT7p	0.0
98	ACACT8p	0.0
99	ACACT9p	0.0
100	ACACtx	-184.89887192275984
101	ACALDtm	0.0
102	ACALDtr	0.0
103	ACALDtx	0.0
104	ACCOACm	0.0
105	ACCOAgt	1000.0
106	ACCOALm	0.0
107	ACCOAtr	0.0
108	ACGAGBSIDEtg	0.0
109	ACGAGBSIDEtl	0.0
110	ACGALK	0.0
111	ACGALtly	0.0
112	ACGAM6PSi	0.0
113	ACGAMK	0.0
114	ACGAMPM	0.0
115	ACGAMtly	0.0
116	ACGPID	0.0
117	ACGSm	0.0
118	ACHEe	0.0
119	ACITL	0.0
120	ACN13ACNGALGBSIDEte	0.0
121	ACN13ACNGALGBSIDEtg	0.0
122	ACN23ACNGALGBSIDEte	0.0
123	ACN23ACNGALGBSIDEtg	0.0
124	ACNACNGAL14ACGLCGALGLUSIDEte	0.0
125	ACNACNGALGBSIDEte	0.0
126	ACNACNGALGBSIDEtg	0.0
127	ACNAM9PL	0.0
128	ACNAM9PL2	0.0
129	ACNAMlt	0.0
130	ACNAMPH	0.0
131	ACNGALACGLCGAL14ACGLCGALGLUSIDEte	0.0
132	ACOAD10m	0.0
133	ACOAD1fm	0.0
134	ACOAD8m	0.0
135	ACOAD9m	0.0
136	ACOAO7p	0.0
137	ACONTm	0.0
138	ACOX22x	0.0
139	ACOX2x	0.0
140	ACP1_FMN_	0.0
141	ACRNtm	0.0
142	ACS2	0.0
143	ACSm	0.0
144	ACSRTNMT	0.0
145	ACtg	0.0
146	ADA	0.0
147	ADAe	0.0
148	ADEt	-14.63581774315159
149	ADK1m	-1.4653962682847826e-13
150	ADK3	0.0
151	ADK3m	0.0
152	ADKd	0.0
153	ADMDC	0.0
154	ADNCYC	0.0
155	ADNK1m	-1.4653962682847826e-13
156	ADNt	0.0
157	ADNt4	0.0
158	ADNtl	0.0
159	ADNtm	-1.4653962682847826e-13
160	ADPMAN	0.0
161	ADPRIBt	0.0
162	ADRNCPT1	0.0
163	ADRNCPT2	0.0
164	ADRNCRNt	0.0
165	ADSK	0.0
166	ADSL1	0.0
167	ADSL2	0.0
168	AFLATOXINte	0.0
169	AG13T1g	0.0
170	AG13T2g	0.0
171	AG13T3g	0.0
172	AGMTm	0.0
173	AGPAT1	0.0
174	AGTim	0.0
175	AHEXASE2ly	0.0
176	AHEXASEly	0.0
177	AIRCr	0.0
178	AKGDm	1000.0
179	AKGMALtm	0.0
180	AKGt4_3	0.0
181	AKR1C1	0.0
182	ALASm	0.0
183	ALATA_L	-1000.0
184	ALAtN1	1000.0
185	ALCD21_D	0.0
186	ALCD21_L	0.0
187	ALCD22_D	0.0
188	ALCD22_L	0.0
189	ALCD2if	0.0
190	ALCD2yf	0.0
191	ALDD20x	0.0
192	ALDD20xm	0.0
193	ALDD21	0.0
194	ALDD2xm	0.0
195	ALDD2y	923.4827640274001
196	ALDSTRNte	0.0
197	ALDSTRNtm	0.0
198	ALOX12	0.0
199	ALOX15	0.0
200	ALOX5	0.0
201	ALOX52	1000.0000000000001
202	ALR2	0.0
203	ALR3	0.0
204	AMACR2p	0.0
205	AMACRp	0.0
206	AMETt2m	0.0
207	AMPDA	9.89039085112871
208	AMPTASECGe	869.2181283941984
209	AMY1e	0.0
210	AMY2e	0.0
211	ANDRSTRNtr	0.0
212	AOBUTDsm	0.0
213	APAT2rm	0.0
214	APOCF	0.0
215	APOCFm	0.0
216	APOC_LYS_BTNP	0.0
217	APOC_LYS_BTNPm	0.0
218	APRTO2	0.0
219	ARAB_Lt	-1.768931555928505e-13
220	ARABR	-1.7689315559285051e-13
221	ARACHCOAtx	0.0
222	ARACHCPT1	0.0
223	ARACHCPT2	0.0
224	ARACHCRNt	0.0
225	ARACHDCOAtx	0.0
226	ARACHDt2	0.0
227	ARACHDtr	0.0
228	ARGDCm	0.0
229	ARGLYSex	0.0
230	ARGNm	0.0
231	ARGSS	0.0
232	ARGtm	0.0
233	R_group_phosphotase_1	0.0
234	R_group_phosphotase_3	0.0
235	ARTFR208	0.0
236	ARTPLM3m	0.0
237	ASAH1	0.0
238	ASCBt4	0.0
239	ASNNm	0.0
240	ASNS1	0.0
241	ASNtm	0.0
242	ASNtN1	0.0
243	ASPCTr	0.0
244	ASPDt6	0.0
245	ASPDxt	0.0
246	ASPGLUm	0.0
247	ASPTAm	0.0
248	ATP1ter	0.0
249	ATP2ter	0.0
250	ATPasel	0.0
251	ATPH1e	0.0
252	ATPH2e	0.0
253	ATPtm	1000.0000000000005
